Nr.;Vorname;Nachname;Geburtsdatum
1403;Erlfried;Rehbein;10.06.1976
1404;Pankraz;Bötcher;12.11.1951
1405;Carolina;Schäffler;25.08.1987
1406;Anette;Gentner;30.06.2020
1407;Ingram;Berendt;10.07.2015
1408;Daniel;Rösner;11.04.2007
1409;Dietbald;Back;01.06.1933
1410;Eckardt;Kater;20.03.1939
1411;Janine;Feige;13.02.1918
1412;Rigo;Goetze;25.08.1921
1413;Heidelore;Kohlhaas;31.03.1952
1414;Amrei;Wiemann;08.06.1904
1415;Willy;Hainz;06.12.1981
1416;Felizia;Eisen;21.01.1909
1417;Selina;Schippmann;24.01.1913
1418;Samuel;Gertz;31.12.1989
1419;Andy;Wilm;14.08.2013
1420;Kathi;Mika;02.12.1980
1421;Kurd;Kater;08.04.1952
1422;Ulrike;Rosentreter;10.02.1933
1423;Dorlis;Kaup;13.11.1918
1424;Dietram;Schneeberger;29.05.1980
1425;Dietger;Schädel;03.03.1914
1426;Armin;Mauel;13.08.2008
1427;Luc;Warkentin;01.07.1919
1428;Rosely;Saunders;03.02.1959
1429;Kajetan;Schemm;26.06.1948
1430;Irmtraud;Hart;08.12.1960
1431;Sara;Weers;15.08.1977
1432;Willhart;Zindel;05.10.1944
1433;Anja;Schermer;16.10.1946
1434;Mania;Zühlke;29.04.2007
1435;Patrizia;Pahnke;15.07.1954
1436;Neidhard;Schäper;18.11.1925
1437;Edwina;Salon;06.11.1946
1438;Helmo;Pape;16.03.1941
1439;Burkhard;Himmelmann;31.05.2008
1440;Sabinchen;Düren;21.05.1925
1441;Elenore;Pitzer;11.11.1980
1442;Erica;Goerke;25.12.1997
1443;Rotraud;Dollinger;07.06.1905
1444;Sigmund;Rhein;25.02.1958
1445;Edelgard;Schödel;08.03.1995
1446;Thekla;Recht;22.10.1906
1447;Edwina;Follmann;14.07.2005
1448;Ingobert;Curry;17.02.1983
1449;Traudlinde;Riecken;02.03.1902
1450;Anemone;Locher;11.09.1936
1451;Annebärbel;Schrick;03.10.1982
1452;Christoph;Seifarth;05.06.1992
1453;Margareta;Steier;10.08.1990
1454;Arite;Specker;05.03.1933
1455;Trauthilde;Zschiesche;06.10.2020
1456;Gunter;Vasquez;15.03.1943
1457;Sigmar;Himmelmann;29.03.1936
1458;Hanswolf;Diederich;03.08.1955
1459;Isa;Blume;27.09.1907
1460;Thassilo;Adamski;03.01.1978
1461;Herko;Igel;01.08.1906
1462;Gudula;Arnhold;27.09.1987
1463;Luna;Stelljes;25.02.1954
1464;Holk;Allison;01.12.1906
1465;Joachim;Stephens;18.07.1984
1466;Klausdieter;Wetzler;20.07.1938
1467;Ehrmut;Rasch;27.05.2014
1468;Robby;Holsten;26.06.1907
1469;Carlotta;Gunkel;14.04.1995
1470;Griseldis;Opitz;16.04.1981
1471;Herzlinde;Bartnik;18.03.1952
1472;Ansgar;Schlick;29.12.1944
1473;Gerritdina;Mende;27.05.2000
1474;Doraline;Strey;15.02.1903
1475;Wilhelm;Seiferth;16.07.1922
1476;Ilsemarie;Hirsch;02.08.2012
1477;Magdalena;Bölling;12.08.1967
1478;Ricarda;Kubitz;04.05.2002
1479;Resi;Gräber;11.04.1912
1480;Karena;Sonntag;26.05.1905
1481;Anton;Berninger;08.03.1969
1482;Lia;Korb;14.06.1997
1483;Ehrmut;Hochmuth;14.08.1935
1484;Jesse;Eisel;09.06.1949
1485;Bertha;Reithmeier;13.03.1985
1486;Dietram;Pelz;21.01.1932
1487;Arnfred;Scherzinger;13.01.2016
1488;Chiara;Walker;28.07.1981
1489;Traugott;Schwerdtner;23.11.1933
1490;Almtrud;Levermann;16.03.1936
1491;Marcellus;Wilson;23.07.1957
1492;Käthchen;Grützmacher;09.09.2005
1493;Heilmuth;Kofler;24.02.1982
1494;Volkhardt;Nietsch;13.08.1946
1495;Mirco;Beine;08.07.1974
1496;Kaya;Staats;16.08.2023
1497;Annalies;Kober;17.01.1969
1498;Michaela;Kölling;04.12.1947
1499;Verena;Hermsen;01.12.1952
1500;Jolanda;Domes;14.10.1956
1501;Siegenot;Tölke;09.12.1944
1502;Volkrad;Langen;23.08.1982
1503;Tilli;Hebel;08.02.2024
1504;Gotthard;Ehrke;11.03.2024
1505;Dietburg;Partsch;02.09.1936
1506;Gunthild;Tripp;27.02.1938
1507;Lienard;Hodapp;27.05.2011
1508;Leonhard;Bill;27.05.1971
1509;Meikel;Graef;05.08.1928
1510;Lisa;Rietz;28.02.1999
1511;Anneruth;Döscher;03.02.1955
1512;Joel;Schmidt;11.08.1929
1513;Winnimar;Dehn;02.02.1912
1514;Ehrhard;Braun;29.10.2014
1515;Thoralf;Fiala;16.06.2011
1516;Amelie;Jablonski;14.02.2002
1517;Bettina;Schweinsberg;30.06.1947
1518;René;Kneip;23.09.1984
1519;Joelina;Düsing;24.12.1926
1520;Hannsgeorg;Steinert;10.11.1928
1521;Sigishelm;Krüger;21.10.1954
1522;Dagmar;Klute;13.03.1927
1523;Ottobert;Heinle;05.02.2019
1524;Friedgard;Kist;02.06.1986
1525;Christine;Perez;08.08.2002
1526;Erdmann;Weidner;30.10.2017
1527;Ruben;Grabow;18.08.2024
1528;Liselore;Baur;18.05.1939
1529;Eitelfritz;Auer;05.02.1937
1530;Ortraud;Giese;16.09.2023
1531;Janis;Jankowiak;29.03.1908
1532;Franka;Rohrmann;06.02.1995
1533;Gundhard;Czerwinski;23.03.1927
1534;Amadeus;Althaus;29.06.1987
1535;Paulina;Henry;30.03.1993
1536;Valerian;Masch;29.05.1941
1537;Lea;Reinke;07.09.1980
1538;Jörgfried;Kasten;15.10.1925
1539;Gerlind;Schröpfer;05.03.1905
1540;Alfons;Larisch;18.07.1920
1541;Cornelius;Clasen;26.07.1956
1542;Arabella;Obermaier;23.07.1946
1543;Dietz;Käser;21.04.1950
1544;Manhard;Dräger;30.12.1977
1545;Reinburga;Aschenbach;21.12.1954
1546;Gritt;Villwock;31.08.1935
1547;Wernhild;Rabus;24.09.1965
1548;Evelin;Koppenhöfer;24.02.1982
1549;Hellfried;Grosche;08.08.1947
1550;Reino;Schmucker;07.11.1920
1551;Altraud;Hoffmeister;19.02.1994
1552;Siegrid;Eden;09.12.1965
1553;Corinna;Gläßer;31.01.1912
1554;Hansjörn;Pichler;24.06.1988
1555;Goldtraud;Wiegert;01.08.1992
1556;Winand;Felgner;02.07.2002
1557;Christian;Sailer;21.03.1989
1558;Hannmeike;Wicke;25.08.1964
1559;Christine;Laufer;08.09.1980
1560;Adolph;Habich;27.09.1915
1561;Michaela;Bayer;12.07.1977
1562;Brunhilde;Collet;16.09.1957
1563;Roseliese;Schaich;25.05.1925
1564;Volker;Grabowski;09.04.2013
1565;Elsa;Grötzinger;06.11.1926
1566;Armin;Rochow;25.05.1920
1567;Veith;Knöchel;01.09.1936
1568;Karolin;Herrig;03.06.1960
1569;Christamaria;Trede;24.08.1926
1570;Lidwina;Mauritz;02.03.1998
1571;Steve;Dahmen;31.07.1942
1572;Tillmann;Feder;13.08.2024
1573;Frederik;Knörzer;01.09.1942
1574;Volker;Brod;06.11.1936
1575;Hildelies;Sawatzki;21.09.1960
1576;Annedoris;Sellner;06.02.1952
1577;Bert;Stockmann;07.11.2012
1578;Senta;Heber;30.10.2012
1579;Julien;Weingart;24.05.1990
1580;Doris;Mertens;23.05.1991
1581;Tiemo;Wilkens;15.10.2022
1582;Volkmar;Grigo;12.05.2023
1583;Heideline;Ramirez;06.10.1972
1584;Janik;Bölter;18.08.1927
1585;Josephine;Köller;10.05.1932
1586;Erhart;Böll;22.01.1903
1587;Almtrud;Haubold;08.02.1918
1588;Klothildis;Schopp;04.09.1931
1589;Roger;Weiner;28.11.2006
1590;Frohwald;Elter;17.03.2010
1591;Bringfriede;Blenk;06.01.1916
1592;Liam;Johnen;06.03.2019
1593;Alfried;Griffith;20.12.2009
1594;Eli;Vaupel;05.02.1956
1595;Julius;Bürkle;29.03.1949
1596;Karlo;Posselt;05.07.1988
1597;Dorith;Raber;09.02.1986
1598;Wolfgünter;Blaser;06.10.1934
1599;Wenzel;Paas;27.05.1940
1600;Joschka;Poppe;02.10.1997
1601;Josefa;Rosenkranz;23.02.1923
1602;Annakatrin;Brooks;24.05.1984
1603;Gerd;Schwing;14.05.1943
1604;Mareike;Malinowski;18.10.1922
1605;Vitus;Stapel;09.12.2021
1606;Benedicta;Cao;03.08.1942
1607;Liam;Bornmann;16.11.2005
1608;Hanswalter;Bücherl;12.03.1918
1609;Beate;Linhart;18.03.1997
1610;Anne;Oetken;01.10.1947
1611;Hans;Puls;10.12.1939
1612;Janne;Wiest;27.08.1956
1613;Ismene;Bähr;23.09.1969
1614;Maximilian;Schmauder;10.08.1939
1615;Ernst;Stewart;29.04.1907
1616;Priska;Thümmler;26.10.1923
1617;Wernhild;Hübl;21.06.1972
1618;Marliese;Waibel;27.09.2005
1619;Mark;Ehrhardt;29.09.2014
1620;Beatrix;Quade;22.07.1936
1621;Lottelore;Lippmann;09.11.1987
1622;Trutz;Rohrer;23.06.1955
1623;Gislind;Stürmer;20.10.1908
1624;Hannes;Schriever;26.12.1993
1625;Adeline;Pfau;06.06.2019
1626;Antje;Gebhardt;13.11.2010
1627;Heidegunde;Kaden;06.01.1980
1628;Volkhart;Isik;30.09.1920
1629;Riana;Volz;03.09.1960
1630;Lilli;Majer;02.06.1999
1631;Hedy;Patterson;26.05.1927
1632;Zilli;Lembke;15.12.2003
1633;Auguste;Brennecke;26.06.1969
1634;Amy;Markmann;05.10.1955
1635;Augustinus;Krogmann;28.04.1942
1636;Alfinus;Land;23.02.1980
1637;Kathi;Stadtmüller;01.08.1905
1638;Theobert;Bertz;26.11.1953
1639;Arthur;Meininger;23.11.2019
1640;Hansgünter;Cremers;27.12.1998
1641;Birgit;Flowers;30.07.1923
1642;Undine;Melzer;20.01.1966
1643;Knut;Yücel;20.08.1990
1644;Aline;Stockinger;19.10.1979
1645;Alexa;Kallmeyer;12.11.1923
1646;Ernstine;Drexl;29.06.2017
1647;Editha;Daun;16.11.2013
1648;Mohammed;Gröbner;06.03.1916
1649;Marieliese;Rautenberg;27.08.1957
1650;Dankfried;Pflanz;31.12.1936
1651;Annelie;Struckmeier;21.04.1952
1652;Susan;Uphoff;08.09.1964
1653;Sturmius;Unkelbach;08.05.1986
1654;Kurth;Enke;26.11.1994
1655;Linhart;Kupfer;21.08.1909
1656;Jessica;Diedrichs;30.01.2020
1657;Thielo;Gatzke;13.01.1923
1658;Dorchen;Dachs;04.10.1909
1659;Sigrun;Thormann;24.06.2025
1660;Ottilie;Hunter;28.05.1905
1661;Marlon;Herbst;30.10.1960
1662;Valeska;Gül;25.08.1969
1663;Alhard;Sindermann;26.12.1907
1664;Heidelinde;Mertins;15.03.1908
1665;Ottilia;Frerichs;04.04.1968
1666;Käthchen;Heym;17.10.1984
1667;Theodore;Rohrmoser;09.03.1993
1668;Mohamed;Vieregge;10.12.1998
1669;Ingelore;Mesch;21.04.1999
1670;Rudenz;Hutter;06.08.1910
1671;Liane;Hohlfeld;26.12.1995
1672;Hansjörg;Kröhnert;10.08.1965
1673;Cäcilie;Zeuner;15.03.1969
1674;Ludger;Kastens;09.05.1973
1675;Annina;Lässig;09.08.2008
1676;Lilian;Sönnichsen;03.03.1945
1677;Adi;Merx;01.09.2005
1678;Runfried;Nienhaus;01.05.1914
1679;Birte;Eickhoff;19.05.1908
1680;Friedebert;Reinhard;24.07.1987
1681;Burgel;Rogler;11.05.1936
1682;Gabriel;Fahle;12.06.1999
1683;Stefanie;Bartnik;30.06.1999
1684;Theo;Hüttel;08.09.1974
1685;Burghart;Löber;19.02.1963
1686;Lennox;Kwiatkowski;27.05.1931
1687;Felix;Doll;14.03.1974
1688;Edit;Czerny;12.03.1952
1689;Tassilo;Jungen;23.08.1913
1690;Rilana;Hövel;19.10.2019
1691;Paulus;Fürstenau;09.10.2011
1692;Kirsten;Sickert;09.04.1965
1693;Käthi;Diel;13.12.1951
1694;Rütger;Trautmann;28.03.1922
1695;Ruthild;Stößer;20.04.2019
1696;Karlheinrich;Schneller;04.08.1973
1697;Genia;Abel;05.07.1944
1698;Sigfried;Holtkamp;20.01.1926
1699;Irmtraut;Knoll;08.01.1984
1700;Leni;Kirmse;04.11.1943
1701;Robby;Mewes;01.11.1967
1702;Ottwin;Stahlgruber;19.03.1908
1703;Gislind;Kirner;14.03.1963
1704;Gerd;Felsch;05.05.1967
1705;Annehilde;Hornemann;27.04.1989
1706;Madleine;Lambers;18.08.1965
1707;Gusti;Hering;27.02.1950
1708;Fränzi;Kehr;06.09.1985
1709;Erno;Sentürk;20.01.2024
1710;Cirsten;Höbel;27.12.1970
1711;Tilman;Bettin;01.06.1920
1712;Christmut;Patterson;15.08.2020
1713;Bernt;Wilk;23.07.2009
1714;Sieglinde;Bader;10.05.1904
1715;Ruthild;Foitzik;30.10.1930
1716;Maike;Friesen;09.06.1984
1717;Christine;Diel;08.07.2016
1718;Marlies;Dietsche;09.08.1996
1719;Dagmar;Windt;22.08.2020
1720;Innozenz;Kneip;13.03.1992
1721;Kassandra;Urbaniak;21.11.1915
1722;Korbinian;Belzer;29.10.1944
1723;Rainhardt;Illgen;04.11.1963
1724;Marc;Brendel;22.05.1921
1725;Rouven;Hussmann;22.09.1943
1726;Rudolf;Frosch;03.10.1990
1727;Linda;Mosler;21.01.2010
1728;Tomas;Taube;19.06.1951
1729;Laurens;Sherman;08.10.1978
1730;Fridegund;Königer;02.01.1911
1731;Gislinde;Vocke;11.10.2000
1732;Bernhild;Dienst;13.12.1954
1733;Kreszenz;Möbius;02.09.1993
1734;Maik;Rathje;07.11.1985
1735;Urban;Zwingmann;22.06.1989
1736;Brunhild;Pickert;10.08.1949
1737;Arno;Bein;17.01.1993
1738;Erni;Gröber;17.07.1969
1739;Finchen;Märker;01.05.1945
1740;Ekkehardt;Hamer;27.12.1993
1741;Antonius;Heintz;06.05.1909
1742;Wendeline;Niedermaier;06.04.1917
1743;Valerian;Adomeit;24.03.1965
1744;Regina;Gierl;01.01.2004
1745;Bärbel;Schuchardt;16.06.2022
1746;Leberecht;Dohr;17.05.2014
1747;Nora;Köse;04.07.2001
1748;Alexa;Zierer;18.04.1968
1749;Bruno;Forstner;23.11.2011
1750;Selin;Göbel;16.08.1908
1751;Herwig;Steinbrück;07.10.2009
1752;Hardi;Bleich;10.12.1932
1753;Annekäthe;Thurner;12.03.1903
1754;Mario;Lichtenberg;10.05.1928
1755;Evamaria;Röver;07.05.1964
1756;Hermi;Holzhausen;16.08.1964
1757;Klaas;Andersson;15.12.1916
1758;Ewalda;Wollner;08.07.1919
1759;Reinhardine;Hüther;09.11.1946
1760;Manhardt;Bühring;25.10.2012
1761;Roslinde;Hillig;22.09.1996
1762;Ishild;Kuttler;28.08.1988
1763;Trudbert;Warmuth;01.06.2003
1764;Charlotte;Benda;07.08.1906
1765;Jolante;Klink;12.11.1990
1766;Gerborg;Geist;25.07.1915
1767;Nortrun;Hausdorf;10.12.1950
1768;Regine;Heckel;16.02.1949
1769;Welfhard;Mensing;03.01.1938
1770;Sonnhardt;Stang;29.10.1993
1771;Lewin;Miehe;27.12.1912
1772;Trautlind;Spillner;19.01.1930
1773;Layla;Hayn;05.08.1998
1774;Lutz;Snyder;15.09.1916
1775;Gundi;Güntner;27.10.1990
1776;Sindy;Enzmann;18.10.1937
1777;Engelhard;Janus;16.05.1983
1778;Reginbert;Pfister;18.06.1925
1779;Ben;Hartenstein;15.03.1935
1780;Gundel;Foerster;25.09.2023
1781;Friedemann;Hippler;08.11.1989
1782;Kathleen;Osterkamp;05.06.1922
1783;Nortrun;Erdem;18.11.1942
1784;Anneros;Cieslik;27.08.1981
1785;Donate;Deinzer;30.03.1923
1786;Ingomar;Naber;26.12.1992
1787;Heidelinde;Brück;03.06.1979
1788;Marlinde;Mertins;18.05.2002
1789;Willma;Siering;02.02.1909
1790;Birgit;Jahr;27.11.1930
1791;Reinfried;Mutschler;21.09.1919
1792;Victor;Gürtler;09.10.1962
1793;Evelyn;Ohm;04.08.1970
1794;Anselm;Schack;21.06.1905
1795;Hanneliese;Winzen;01.09.1937
1796;Ehrenfried;Emmer;22.12.1959
1797;Nicolaus;Quadt;12.08.1930
1798;Mara;Kuhlmann;18.11.1938
1799;Marieluise;Röben;08.12.1944
1800;Rahel;Bergemann;14.12.1921
1801;Karlotto;Karau;21.08.2019
1802;Uta;Brechtel;03.01.1951
1803;Bert;Pankoke;09.01.1952
1804;Gabriel;Faulstich;23.02.1922
1805;Rembert;Bubeck;21.10.1924
1806;Bartho;Kubitza;23.10.1976
1807;Ortwin;Schnell;18.04.1907
1808;Gerolda;Fredrich;15.09.1908
1809;Nora;Kestler;11.09.2024
1810;Birge;Kunkel;17.11.2014
1811;Thilo;Drewitz;01.05.1902
1812;Rainer;Grundner;03.08.1952
1813;Jean;Förtsch;24.04.1924
1814;Lene;Gehrt;22.10.1931
1815;Frederik;Lörcher;20.09.2010
1816;Karleugen;Habenicht;31.12.1954
1817;Richardis;Meißner;17.09.1975
1818;Philine;Neu;28.05.1990
1819;Chantalle;Staudenmaier;10.05.2024
1820;Margareta;Teichmann;05.12.1967
1821;Hetty;Topf;28.04.1974
1822;Karlheinz;Gericke;04.11.1941
1823;Rutger;Kugelmann;22.07.2013
1824;Friedrich;Eigner;05.08.1930
1825;Lorelies;Berchtold;06.11.1909
1826;Stefan;Valerius;18.04.1944
1827;Christhild;Schmaus;29.05.1978
1828;Belina;Ferguson;01.11.1999
1829;Annemargret;Kraushaar;25.07.1911
1830;Sieghilde;Haase;29.01.1951
1831;Ismene;Overbeck;02.09.1995
1832;Cornelius;Stöckmann;05.04.1939
1833;Marta;Männer;14.01.2011
1834;Aloysia;Michael;13.02.1916
1835;Gitta;Ziems;10.01.1946
1836;Freimuth;Groeneveld;29.06.1964
1837;Burckhardt;Feger;12.10.2010
1838;Mariele;Kümmel;08.08.1949
1839;Armgard;Böer;01.05.1930
1840;Birkhild;Dücker;12.05.1937
1841;Christina;Horn;16.11.1993
1842;Albertine;Häfele;10.12.1978
1843;Nicole;Wojciechowski;21.05.2023
1844;Romy;Hohaus;01.11.1941
1845;René;Kratzsch;21.09.2013
1846;Eckehard;Alles;04.05.1980
1847;Phillip;Rieß;14.04.1926
1848;Lennard;Voit;07.07.1976
1849;Herwald;Westenberger;02.12.2006
1850;Marta;Grad;31.08.2002
1851;Luise;Conrady;16.07.1934
1852;Georg;Conner;10.04.1985
1853;Lotti;Schlosser;04.02.1991
1854;Laurens;Jahnke;22.10.1920
1855;Jo;Etzel;27.01.1909
1856;Vinzent;Specht;27.11.1928
1857;Sybil;Haug;13.05.1910
1858;Yannik;Greß;14.06.1988
1859;Arnhild;Grunow;27.12.2002
1860;Madlen;Bernstein;18.08.1907
1861;Siglind;Remmele;24.12.1949
1862;Joseph;Hiebl;09.06.1992
1863;Reimo;Mailänder;25.03.1908
1864;Maleen;Obermann;07.04.1916
1865;Ehrengard;Geis;14.04.2025
1866;Cordelia;Derksen;30.04.1923
1867;Evchen;Rimbach;05.10.1967
1868;Gunhard;Heumann;20.04.1970
1869;Simpert;Richard;28.07.1946
1870;Elena;Zeh;06.03.1935
1871;Antonius;Ebbing;01.01.2008
1872;Lotte;Sobek;02.10.1974
1873;Niclas;Alles;12.05.1963
1874;Jacob;Dresler;05.03.1992
1875;Céline;Schwemmer;18.03.2018
1876;Leberecht;Hinrichs;28.09.1903
1877;Bernhard;Harbeck;18.01.1940
1878;Magdalena;Jahnel;02.02.1933
1879;Ireneus;Pankoke;01.08.2010
1880;Odilo;Lach;25.09.1904
1881;Ottwin;Knüttel;25.09.1943
1882;Wolfbert;Lehnert;28.03.1932
1883;Lia;Kaindl;28.05.1955
1884;Roselinde;Gillmann;19.10.1995
1885;Burkhard;Kerkhoff;29.01.1984
1886;Ariane;Bäder;13.10.1938
1887;Hendrik;Storch;20.05.1986
1888;Piet;Leopold;11.07.2010
1889;Alexa;Albrecht;22.01.1973
1890;Siglind;Weihs;07.08.1985
1891;Lisbeth;Mühlhaus;02.03.1913
1892;Hansgünther;Eckerle;06.12.2007
1893;Amalie;Strunk;07.04.2011
1894;Friedhold;Gros;23.12.1992
1895;Gabriel;Gerstenberger;17.10.1917
1896;Dankwart;Adamek;18.06.2001
1897;Nancy;Forkel;26.03.1960
1898;Tiemo;Pauli;28.05.1938
1899;Luzia;Brinkmann;21.10.1986
1900;Ulf;Hopp;03.08.1962
1901;Walter;Kerl;10.12.1956
1902;Irmentraut;Nuß;26.08.1922
1903;Christhart;Lühmann;17.02.2023
1904;Gunhild;Engelhart;23.02.1978
1905;Julie;Maxwell;01.03.1936
1906;Simone;Münchow;11.01.1936
1907;Ernstine;Deneke;17.06.1912
1908;Irmintraud;Freudenreich;04.03.2012
1909;Randolf;Clauss;09.10.1961
1910;Emilie;Wessling;13.10.1932
1911;Marilen;Radloff;03.10.2016
1912;Kaja;Hofstetter;18.03.2024
1913;Frank;Lehnen;22.04.1932
1914;Wiltraud;Oertel;10.01.1986
1915;Anrich;Blaser;13.08.1916
1916;Goldtraud;Zeiger;03.12.1970
1917;Amelie;Herda;15.06.1913
1918;Jolina;Braatz;20.01.1918
1919;Doritta;Radloff;27.12.2004
1920;Constanze;Geiger;27.05.2015
1921;Friedeburg;Kandziora;30.08.1918
1922;Burghild;Wood;19.02.1946
1923;Irmfried;Barthelmes;27.03.1978
1924;Helmfried;Hüppe;14.02.1990
1925;Sam;Rauber;30.10.1921
1926;Detrich;Buchinger;07.12.1923
1927;Sonja;Krenn;04.09.1939
1928;Helgert;Betzler;20.01.1960
1929;Samantha;Patt;24.04.1991
1930;Adelbert;Kulik;21.06.2009
1931;Elisa;Lösch;07.01.2014
1932;Gerdt;Führer;13.10.1987
1933;Dorlis;Niesen;29.06.1926
1934;Burghild;Höppner;03.01.2011
1935;Madleine;Elbers;20.12.1975
1936;Volker;Kopka;23.02.1969
1937;Maic;Biewald;29.05.1908
1938;Hildelies;Morton;27.05.1999
1939;Volker;Landeck;02.04.2019
1940;Wulfhard;Bayerl;22.04.1981
1941;Ludger;Flick;01.03.1936
1942;Silvester;Büdenbender;07.04.2015
1943;Erla;Mettler;23.12.2020
1944;Frankmut;Hübler;06.02.1999
1945;Korinna;Pröll;02.03.2024
1946;Myrta;Wensing;02.11.2009
1947;Gisela;Wade;17.04.2023
1948;Céline;Stoffers;16.05.1916
1949;Herta;Neuhoff;06.08.1947
1950;Freimuth;Domes;12.09.2017
1951;Thassilo;Geib;30.09.2004
1952;Trinchen;Ilse;08.12.1942
1953;Hadburg;Scherner;12.09.2019
1954;Kätchen;Baßler;27.07.1992
1955;Gernot;Käser;11.02.1951
1956;Schorsch;Hanselmann;07.04.2021
1957;Riana;Probst;29.12.1932
1958;Vivien;Cinar;08.06.1983
1959;Vincent;Färber;19.07.1902
1960;Liebgard;Ehrich;04.09.1925
1961;Annkathrin;Götzinger;23.04.1992
1962;Muhammed;Harmon;20.06.1971
1963;Vinzent;Dehne;15.10.2015
1964;Wendelgard;Octomedia;06.01.1945
1965;Michel;Weth;19.11.1980
1966;Dimitri;Mattes;06.09.1927
1967;Markolf;Laux;09.04.1920
1968;Benno;Zimmerer;10.12.2004
1969;Valerian;Gilles;19.10.1929
1970;Theodolinde;Scherz;01.04.2004
1971;Hardo;Hohenberger;08.04.1914
1972;Luk;Walgenbach;27.09.1977
1973;Timmo;Mensch;05.01.1916
1974;Witmar;Ziebarth;25.06.1940
1975;Matthies;Aschoff;27.10.1947
1976;Dorina;Amberg;17.09.1986
1977;Karla;Frühling;25.07.1923
1978;Wanda;Lesch;10.08.1939
1979;Birke;Cannon;29.12.1939
1980;Lindmar;Blunck;19.01.1961
1981;Jannine;Garner;17.04.1990
1982;Aloysius;Mosch;23.11.2010
1983;Utta;Becher;23.08.1969
1984;Lene;Buhmann;06.04.1915
1985;Albertine;Dau;06.11.1979
1986;Zoe;Streubel;22.07.2004
1987;Ignatz;Klausmann;06.10.1930
1988;Gerlinde;Houston;23.02.1921
1989;Helen;Birkel;02.11.1956
1990;Welf;Tober;05.05.1958
1991;Wichard;Düvel;01.06.1950
1992;Kathrin;Plischke;10.09.1936
1993;Janik;Witte;20.06.1953
1994;Friedeborn;Geitner;15.07.1978
1995;Emmy;Gerding;29.07.1905
1996;Ben;Klapp;03.11.1945
1997;Käthi;Hemmerling;23.07.2021
1998;Annetraud;Funken;19.10.1933
1999;Hubertina;Polz;28.05.1947
2000;Lidwina;Mitschke;16.03.1942
2001;Hardy;Tissen;25.09.2004
2002;Aloysia;Göbel;21.02.1995
2003;Irmgart;Gerstenberg;25.12.1929
2004;Siegward;Coskun;22.05.2003
2005;Ignazia;Michels;23.12.1963
2006;Viktor;Westermann;06.09.2010
2007;Anneros;Follmann;25.07.1918
2008;Alrik;Stöckl;24.02.1924
2009;Kimberly;Berz;30.05.1985
2010;Bernadette;Woltering;13.08.1992
2011;Swenja;Erler;14.01.1906
2012;Wilhardt;Damerau;21.06.2025
2013;Falk;Hachmann;28.09.2009
2014;Dorlis;Kapfer;07.05.1996
2015;Bertwalda;Strauss;16.09.2017
2016;Hartger;Finck;01.12.1957
2017;Konradin;Horstmann;25.03.1998
2018;Heidy;Storz;09.01.1953
2019;Berna;Renken;20.08.1993
2020;Martin;Böttcher;10.02.1962
2021;Wolfhelm;Kresse;02.08.2022
2022;Louise;Yilmaz;09.03.1928
2023;Notker;Seyfried;16.03.1935
2024;Maya;Weimann;29.07.2004
2025;Rathgunde;Kloster;04.05.1984
2026;Ole;Heidkamp;20.04.1932
2027;Gundel;Streck;19.10.1975
2028;Thore;Porten;25.10.1990
2029;Sissy;Naumann;22.07.1920
2030;Wilmar;Wunderle;10.02.1923
2031;Lara;Neukirchen;14.05.1929
2032;Christhelm;Dürkop;26.10.1994
2033;German;Haas;04.03.1952
2034;Folkhard;Owen;03.11.1942
2035;Margaritta;Perl;26.11.1930
2036;Lienhard;Yüksel;26.11.1952
2037;Marieliese;Füller;12.10.1983
2038;Fridolin;Hilpert;25.08.1924
2039;Reinburga;Piechotta;22.04.2010
2040;Irminfried;Hoppmann;17.03.1984
2041;Hannes;Riediger;22.10.2013
2042;Englbert;Kain;14.01.1949
2043;Ringo;Neuhäuser;16.12.1902
2044;Clivia;Ganz;13.11.1965
2045;Annedoris;Nonn;31.01.1949
2046;Annetraude;Kammerer;10.03.2018
2047;Jamie;Wichert;10.08.1916
2048;Philine;Lepper;03.03.2018
2049;Siegtraud;Hildenbrand;19.10.1992
2050;Yasmin;Sass;01.07.2001
2051;Irmlind;Prang;22.11.1983
2052;Isa;Monsees;26.09.1985
2053;Karola;Scharfe;11.02.2008
2054;Gelbert;Schachtner;23.01.1991
2055;Winand;Kinkel;24.07.1933
2056;Dietolf;Kelling;29.10.1990
2057;Brigitte;Münzer;24.05.2005
2058;Elsa;Schuff;14.08.1910
2059;Hildelind;Pflieger;31.05.1994
2060;Renatus;Rippe;21.06.1987
2061;Erdwin;Nitzschke;28.03.1976
2062;Kerstin;Körfer;03.11.1918
2063;Hartwald;Robinson;08.10.1952
2064;Hanswilhelm;Liebhart;04.04.2020
2065;Hieronimus;Gall;25.05.1912
2066;Gero;Dangel;13.03.1964
2067;Gundemarie;Happ;25.03.1965
2068;Gabi;Wöhrle;10.02.1905
2069;Gertraude;Hamacher;03.08.2021
2070;Arwin;Kohrs;14.11.2021
2071;Reginhardt;Eckardt;27.12.1985
2072;Catherina;Lenhard;13.05.1972
2073;Bärbl;Goodman;31.05.1961
2074;Mechthilde;Yang;01.04.1985
2075;Konstanze;Kielmann;19.04.1992
2076;Rudolf;Schnee;14.02.1967
2077;Thea;Völz;16.03.1990
2078;Jessika;Wieland;06.01.1944
2079;Adelfried;Immel;07.07.2016
2080;Raimond;Jürgens;18.11.1974
